Layer,PPFD
1,15590.960612289402
1,15247.300612678397
1,13524.707619287601
1,16239.818265454507
1,13279.277915716075
1,15304.929703237256
1,15385.8882572983
1,15148.569271198176
1,16003.196650900087
1,14800.831155602495
1,16899.216373365587
1,14418.655155746379
1,15207.232330378174
1,15313.383214006459
1,15384.170235666288
1,16925.597083496486
1,15064.04595017445
1,15188.04683935786
1,15271.269899998704
1,15576.171968795388
1,15009.984090398746
1,14859.948294085905
2,14331.291955448032
2,13399.094070912472
2,15666.845436167623
2,15923.124971491672
2,13964.202918649666
2,14438.651473055013
2,13744.508457429636
2,15023.606972703266
2,15110.92126495989
2,14123.518055316936
2,12777.143895146988
2,13964.009141115288
2,14261.313932820914
2,14066.979158225007
2,16243.97958684146
2,14951.95387491106
2,15320.958717207384
2,17237.884007011184
2,14338.918667185346
2,15634.271895685813
2,13809.390598726164
2,15140.829203309719
2,15064.669698266423
2,14375.518944632104
2,14314.484031018204
2,15197.5177088986
2,17213.3982510267
2,15839.0224222043
2,15998.054654359581
2,15885.428015517075
2,14513.85073578291
2,15376.857621799354
2,15090.24538788842
2,14498.785371542128
2,14212.133356637696
2,15690.150140755077
2,15918.216828125345
2,12347.028918053367
2,15219.421277675629
2,14548.371385396225
2,14932.489689386943
2,15045.157559547237
2,15973.570022089418
2,16267.030609533764
2,16151.392879494813
2,17070.092514245745
2,14946.370740441613
2,15877.215508282203
2,12922.086452822852
2,14948.218243579546
2,16273.629928021046
2,14439.006493052935
2,17120.83606789818
2,15408.4385014801
2,13368.122319513945
2,15350.783950003943
2,16434.412389183188
2,14901.943727339161
2,15278.530142263899
2,13541.472460416297
2,13765.416925166304
2,15462.00245551786
2,14839.780744815233
2,13449.931055208957
2,16897.718427670352
2,13713.03772279676
2,14469.85680260918
2,15243.54176277643
2,12813.702796178432
2,15178.994647846615
2,14217.133401203311
2,15433.713834627168
2,14175.250017221551
2,14103.67857009655
2,15114.85243279638
2,14986.86939919859
2,15545.230800328167
2,15281.245267879802
2,15687.791010983869
3,14948.578860248206
3,13751.817724136316
3,13288.677372795266
3,15309.445924292391
3,15668.929104363715
3,14945.68922586266
3,14349.370346735708
3,13032.94574565627
3,14329.379878125666
3,13859.15717994496
3,14499.964684124758
3,13833.660358011872
3,13716.499875781949
3,15083.68196872966
3,14093.192624034727
3,14463.133506737504
3,14551.111973981924
3,15030.454107051046
3,14226.132399159877
3,15009.558865240771
3,13451.39933668735
3,15659.03748181868
3,14644.005202918746
3,14324.516710313263
3,13633.49210064697
3,14084.859576625919
3,14932.99926888923
3,15504.407762753266
3,15376.976482577324
3,13637.380891360976
3,14431.67799420968
3,13642.83222324072
3,14544.143597783794
3,14424.155953063908
3,16431.389340619386
3,16413.149925070433
3,14779.054726651064
3,14443.31860678055
3,13481.940389920404
3,13554.40094737715
3,14890.534481889985
3,13289.770828109604
3,14309.419199615979
3,14528.108997684862
3,13573.97405427935
3,14865.054620458615
3,13971.54713387318
3,14374.526511305045
3,14399.396619763376
3,15155.985875362117
3,15487.077351679025
3,13968.758685508028
3,11949.780324336674
3,13976.456703815753
3,15015.563750491963
3,14111.24380343912
3,14305.238100885495
3,14544.11655436041
3,13947.474268140624
3,14087.663475634648
3,12383.91251914825
3,14796.88537566054
3,14224.653783741951
3,15045.388560294554
3,13828.834547619866
3,14581.687946657954
3,15314.161747984039
3,14410.309672764151
3,15379.295126893086
3,15697.93293561395
3,14027.423494908193
3,14629.046071535104
3,14886.306834453473
3,14505.27711114159
3,13436.726482954635
3,14523.770835687335
3,13357.5245793758
3,14658.88179858112
3,15136.218421683852
3,15355.557149652795
3,14486.731581851505
3,13943.1410210573
3,14868.024461017032
3,14894.395144912756
3,14274.43253993055
3,14812.246234269685
3,14326.440230618335
3,14529.264944544017
3,16140.32832119596
3,15355.44238170103
3,14193.374103435834
3,14085.688344579265
3,14008.80583660514
3,13187.574397161332
