Layer,PPFD
0,1146.8645040287765
1,1130.0349154111425
1,1135.291444350275
1,1135.6074477507389
1,1129.6576792826615
1,1135.8150204873532
1,1132.1630841484448
1,1129.7807495107563
1,1129.2867237137468
1,1130.6875843427333
1,1132.8619076868608
1,1141.0223277587445
1,1146.5382106061768
1,1143.5346746028533
1,1136.0367462525428
1,1136.5146154330287
1,1131.8228412754117
1,1130.4027956278023
1,1137.3341563753997
1,1136.609855488155
1,1142.5050703620154
1,1141.8844622519262
1,1151.0669035728822
1,1135.72985984991
1,1141.165830147992
1,1139.400771764333
1,1131.612349983512
1,1125.181460808555
1,1131.7086840246998
1,1138.1197815102926
1,1139.477391078912
1,1143.1808092039769
1,1147.639705966473
1,1149.4429606541405
1,1141.9777191564197
1,1139.3364043909673
1,1141.4553444623978
1,1140.035351249744
1,1134.1853173424129
1,1139.4381649954491
1,1137.8491528393774
1,1138.3663187485006
1,1146.9609345914528
1,1145.4718200553862
1,1132.519347583572
1,1139.4374269288196
1,1150.9446740207661
1,1140.3408828141073
1,1132.182032833265
1,1134.3298992340156
1,1135.7909773254112
1,1140.2604810018315
1,1145.2793290050156
1,1145.4193941909189
1,1147.9904757128757
1,1149.3691759862581
1,1149.568758094161
1,1146.851881575252
1,1146.4945094229802
1,1136.4011199833005
1,1142.8101192278561
1,1140.020435141424
1,1141.6425324570037
1,1144.2122015333714
1,1140.0615539532364
1,1148.3578488953508
1,1143.7529407983448
1,1145.0296542557296
1,1144.2097809098689
1,1140.5430930415819
1,1128.3584243273917
1,1135.469015800308
1,1133.1383800995475
1,1141.4333003727543
1,1141.3483685758113
1,1140.1350535746888
1,1143.8028725329873
1,1140.0737283349274
1,1146.316928687239
1,1143.6091510903857
1,1137.401204170944
1,1132.8483772601412
1,1127.0339658906698
1,1129.1573525182216
1,1135.7215841927814
1,1141.7933235158634
1,1144.261518782441
1,1148.8138205771415
1,1141.316184873805
1,1142.4286805521544
1,1140.5683780291572
1,1138.7439605816148
1,1129.272202697991
1,1130.8215521111654
1,1128.6216277119509
1,1139.45602766869
1,1136.115806794083
1,1135.6791051530884
1,1142.586933490894
1,1134.9173456686708
1,1131.1075189072446
1,1125.7563565375979
1,1120.4433087344864
1,1136.4708185163618
1,1138.5349545087706
1,1128.937287325578
1,1137.425083974964
1,1128.0380744584286
1,1128.1608821719171
2,1067.6979190249506
2,1076.8971612434461
2,1080.990667356233
2,1077.8924038675486
2,1077.7514880838094
2,1081.0081705701914
2,1078.778727965576
2,1071.8251285567203
2,1066.1647598974043
2,1069.2355409881734
2,1076.1900770236682
2,1080.0530977179083
2,1088.479009799517
2,1094.9963157942475
2,1092.4307295952976
2,1096.112045633671
2,1095.2067270117045
2,1083.886400259219
2,1086.1956116570523
2,1082.8823622650818
2,1072.8996366193828
2,1073.2378201566007
2,1072.0660987263605
2,1085.1553759013836
2,1089.3873571411123
2,1093.2414513360798
2,1099.4522006349296
2,1095.275319052631
2,1103.3065852668062
2,1104.537485414553
2,1102.355143169178
2,1098.7794414783891
2,1098.000106670866
2,1093.8818740815393
2,1087.7488580968652
2,1083.907082508593
2,1073.0924799656993
2,1069.2320670051488
2,1083.2415328790987
2,1087.654202383378
2,1099.1217610157132
2,1102.6061681629576
2,1106.6001833280493
2,1112.3734212439324
2,1110.4957830500548
2,1113.176558949608
2,1108.6628465610263
2,1109.510420709494
2,1103.331951247467
2,1102.2784013068638
2,1096.3296941795243
2,1088.945930027063
2,1082.9579926675199
2,1069.0902458957007
2,1076.7871132470827
2,1082.9614306862472
2,1093.6178611679188
2,1101.3956536071971
2,1103.7732025233713
2,1107.8729303898085
2,1113.6412227330236
2,1121.356721389808
2,1123.8477379987244
2,1113.3378479026085
2,1125.0793064498507
2,1117.0200612087017
2,1113.42321679646
2,1108.1758041079581
2,1106.2502758044643
2,1102.0012869077423
2,1092.965442773197
2,1079.6090869625752
2,1072.9674976822566
2,1072.3261690944898
2,1077.2553821184824
2,1091.5518659445986
2,1098.6624184132495
2,1107.8905649911273
2,1113.4009381672488
2,1117.638426143739
2,1122.3018064435228
2,1121.8032963887233
2,1128.3128090941275
2,1128.3885357384463
2,1124.4083778778156
2,1125.4665254464478
2,1129.6421393509886
2,1113.8397441456502
2,1110.4263096115078
2,1102.9785214178787
2,1097.934416494505
2,1095.14540865003
2,1079.7457757204477
2,1069.6281470449007
2,1074.4886986499255
2,1085.719581434786
2,1097.253358223108
2,1107.8048450983765
2,1110.73216272687
2,1119.9998397278487
2,1125.8155962657986
2,1127.0433037289229
2,1114.2888317615873
2,1110.2561409848838
2,1106.8334481230402
2,1097.4241171250173
2,1088.8214393253575
2,1074.7880630627246
2,1069.8964010947332
2,1077.3649417735437
2,1091.932687950864
2,1103.5107189489224
2,1111.8861155622776
2,1121.0691145083333
2,1131.123284564773
2,1133.45210697935
2,1119.7424944812606
2,1106.240590794915
2,1107.7642559090832
2,1086.2319845815484
2,1087.7077987630253
2,1065.7242785203584
2,1076.9103296042938
2,1084.983759667925
2,1096.5750265675033
2,1107.2379258519713
2,1112.7427682376688
2,1125.3671981876403
2,1127.3308727883882
2,1120.697786001764
2,1107.6034108764866
2,1098.648272172353
2,1078.9769478255337
2,1073.6735558248176
2,1076.279370907378
2,1092.8929069641645
2,1095.8522249922808
2,1114.4971485523436
2,1117.2026728193443
2,1124.6891898088872
2,1124.4863315601804
2,1118.2443904766135
2,1116.1786052852706
2,1098.1878143158194
2,1087.19956466776
2,1073.2607297922127
2,1080.8734927708736
2,1086.8461510352347
2,1101.0779254393399
2,1106.9097066120885
2,1116.3896141787338
2,1135.328290009852
2,1128.6898479313766
2,1114.1692608460453
2,1115.7458731503552
2,1102.1818856755099
2,1095.2179655558928
2,1073.745843234841
2,1071.7191205544734
2,1092.8658600570643
2,1101.6346939270675
2,1114.1433103589532
2,1124.6015945179747
2,1128.8393979509947
2,1130.773088938902
2,1127.6213524208554
2,1121.6883256225374
2,1105.149114743478
2,1084.1787746225978
2,1079.8641089567084
2,1081.6072483276023
2,1087.8663239865436
2,1096.969962391524
2,1115.9925728067756
2,1120.1972601759364
2,1121.8495444683315
2,1123.670957455669
2,1125.5554171160863
2,1114.1910553633957
2,1106.9496851064066
2,1087.136775545038
2,1075.0610778640569
2,1077.3546603692319
2,1078.3128537150194
2,1098.2275645935488
2,1108.2872191396261
2,1117.164708370246
2,1131.069981684389
2,1126.3891446710475
2,1115.524059849262
2,1108.1320123674466
2,1095.001941222359
2,1087.014976880826
2,1078.7216848411315
2,1076.5045186938357
2,1085.3012224796614
2,1091.8524860095965
2,1100.8439263997416
2,1112.869677223854
2,1124.3071710839322
2,1124.1591339759755
2,1117.7757169004021
2,1104.5909356163233
2,1101.1420762002701
2,1080.6936021018964
2,1072.0248624643339
2,1071.2823591021443
2,1078.644263064235
2,1092.5476423696944
2,1101.7151995603015
2,1109.7810720098248
2,1116.2780498141303
2,1122.3629726328297
2,1124.9065305478234
2,1121.6535702994888
2,1105.627022011553
2,1104.0733736068396
2,1095.8213002168404
2,1083.1636464435758
2,1068.6502780102876
2,1076.6671912958914
2,1084.3904613919822
2,1095.0900631585168
2,1108.7946849175755
2,1111.2454207849075
2,1118.9579444975432
2,1125.4793682775894
2,1125.893506300666
2,1109.2229484661989
2,1113.6264786140237
2,1106.501236574643
2,1095.5593263912976
2,1083.9224125950993
2,1078.5307789545163
2,1071.6266261034284
2,1078.1347464832759
2,1087.1118747165763
2,1100.1881113280663
2,1107.8680243510896
2,1112.2173208873767
2,1110.9937686969008
2,1125.030509860897
2,1124.395986218342
2,1123.3266443681491
2,1128.6372620178547
2,1134.187382372267
2,1127.0048384045647
2,1122.389752326369
2,1115.2070704751118
2,1113.159448545658
2,1105.3037818407481
2,1097.3585059228446
2,1084.3542951909185
2,1075.6694931424756
2,1071.5365717626412
2,1074.1058940451003
2,1082.9345313312206
2,1088.6984154090844
2,1093.919313976077
2,1104.082909874221
2,1115.4774885867791
2,1119.8222265637987
2,1110.8635157431095
2,1122.0677323010586
2,1121.6465600727997
2,1122.979899440127
2,1121.7430999233866
2,1115.3444305529322
2,1109.3779554853807
2,1099.7815033422983
2,1098.6823868963959
2,1091.0615740389228
2,1082.305992272068
2,1073.93503031378
2,1074.3103642994072
