Layer,PPFD
0,1175.1114218973996
0,1189.0823600999458
0,1181.9563998434796
0,1167.906329837378
0,1134.5711011033954
0,1164.3618865057135
0,1167.8825963914
0,1170.3388591663681
0,1171.914827393302
0,1149.611197908904
0,1193.282089457766
0,1156.9554720504939
0,1184.0075470604315
0,1182.8235370108748
0,1175.0270602205467
0,1162.4816092357337
0,1161.6482677435233
0,1187.2668442720424
0,1172.3723911883005
0,1178.823642482579
0,1171.124935172277
0,1186.8063837969025
0,1159.3269089769028
0,1174.3794496220414
0,1162.940810528604
0,1171.9693346196896
0,1161.2224851062904
0,1166.7546567192678
0,1168.2381856550917
1,1148.2306682452468
1,1145.688576122749
1,1142.1060863480939
1,1164.8324932226103
1,1165.8939757000508
1,1157.7361958580566
1,1171.1466704521067
1,1155.1743131792032
1,1153.0792138961226
1,1152.0886908849827
1,1139.385420552576
1,1140.6483008302864
1,1159.3029498314272
1,1146.2225883578901
1,1164.827308877357
1,1168.3127861434468
1,1164.4683220325496
1,1153.6708819424402
1,1158.8654161768525
1,1165.225421577676
1,1150.3500952332597
1,1148.3091842630545
1,1143.8804646485905
1,1160.9123057119593
1,1150.9739144667515
1,1154.7922098592637
1,1151.8539850266873
1,1158.8407914726422
1,1165.009986415831
1,1136.088009025322
1,1143.6987150956336
1,1147.6392139267252
1,1161.574184047359
1,1157.8491292480935
1,1147.5634169985055
1,1151.9824951644587
1,1141.7535730483562
1,1148.0873402061134
1,1141.5661666919034
1,1155.6244856598714
1,1155.4986135194233
1,1176.696651810915
1,1165.9592766263052
1,1151.0395856436737
1,1152.6067673174355
1,1171.2101578243337
1,1146.5111644921885
1,1145.3014133553002
1,1140.4745690815757
1,1146.5854313677823
1,1154.8223425031206
1,1150.009342538556
1,1152.0777206409189
1,1146.43865169093
1,1157.4400628147923
1,1145.3150584516138
1,1171.0408926252026
1,1184.0305668780425
1,1164.7413370304373
1,1178.5663077870113
1,1137.8337504028725
1,1162.12726612798
1,1153.502892524459
1,1150.467630879314
1,1164.0153998760616
1,1144.9941305505322
1,1156.5000860919372
1,1165.972957898478
1,1158.5071297857016
1,1174.6041822380098
1,1145.6422011656948
1,1157.9828600852254
1,1169.1040478949114
1,1158.874139893725
1,1163.0757976080415
1,1159.4431367452187
1,1176.0475633155872
1,1142.568405201341
1,1169.5936485308155
1,1135.8485644274033
1,1146.1797351342277
1,1151.4075097625482
1,1156.2066913919161
1,1168.3950669667295
1,1151.7778235730104
1,1153.1651038183898
1,1156.0449628265692
1,1145.3324312386221
1,1149.0230829570144
1,1144.7190414725126
1,1168.4869701233276
1,1146.8470201014895
1,1135.9921154833312
1,1154.2181837940948
1,1158.1203862591553
1,1146.2927249769375
1,1156.1538314234128
1,1148.7528142347921
1,1160.260110351537
1,1163.845111742512
1,1175.1266879762175
1,1179.3738909983738
1,1160.9227990598918
1,1164.5908831788286
1,1171.6230097174162
1,1137.6199769202442
1,1158.401589024651
