Layer,PPFD
1,1267.4581802941398
1,1267.9715201012557
1,1266.8353628531288
1,1267.3413426291734
1,1267.2099853641212
1,1268.128029309757
1,1270.1578338912834
1,1267.6549605961854
1,1266.044542882796
1,1264.664747697878
1,1263.9453095294439
1,1264.8551617149478
1,1264.718519919995
1,1265.0253975389708
1,1267.3860841556573
1,1270.4809884430676
1,1267.985961017947
1,1265.9873361228365
1,1264.0466171789662
1,1263.3799803311751
1,1263.3531497880897
1,1264.011115150126
1,1263.4554153536328
1,1263.6156704846405
1,1264.4583569824488
1,1267.220688185376
1,1268.5173510363434
1,1265.623316772221
1,1263.9426601561104
1,1262.7382228246854
1,1262.3249450501746
1,1261.7644912821954
1,1261.840494070759
1,1262.7359012804645
1,1262.9948111859444
1,1264.2215854423982
1,1265.8320776174842
1,1267.881698494886
1,1266.8325489201573
1,1265.136495820657
1,1264.4435010766501
1,1262.4948648436061
1,1262.6949249343918
1,1260.0994967079212
1,1261.3130545177837
1,1261.8207019297863
1,1262.3996631771302
1,1264.2612104476436
1,1264.8374782087074
1,1267.4853859155844
1,1267.1313206321577
1,1264.5847501792368
1,1263.2706968227815
1,1262.175986297441
1,1261.307185935913
1,1261.3050452984774
1,1261.2913611758556
1,1260.8808517026796
1,1261.8014710947393
1,1263.5719910747882
1,1264.5143393118353
1,1267.7776263341605
1,1267.5392040273775
1,1265.3938475508535
1,1263.7791648165892
1,1262.2730473275533
1,1261.037618014363
1,1262.0866288186958
1,1261.922709407112
1,1261.477122508993
1,1262.3157700121817
1,1262.6513711678626
1,1264.6720399948483
1,1267.471933266273
1,1267.5798093456533
1,1265.1881304609988
1,1264.2249363287194
1,1262.7961693859836
1,1261.9509148238465
1,1261.6819932358046
1,1261.6530838305582
1,1261.2484259411965
1,1262.8755022615057
1,1264.2908355430643
1,1265.1901397339784
1,1267.3476139031784
1,1267.9158983759796
1,1265.7715786802544
1,1264.1279594479959
1,1263.589669056635
1,1262.5270248238946
1,1262.2904745076287
1,1262.7490759464984
1,1262.2098383242947
1,1263.4683230076648
1,1264.063176645109
1,1265.7593910041996
1,1268.7306230795277
1,1267.9082929142578
1,1265.4102764259312
1,1264.9380663008437
1,1264.3438479955735
1,1263.9583150881945
1,1264.2260099690789
1,1264.4540113740711
1,1264.0252497789284
1,1265.7600572552874
1,1268.0189487315845
1,1271.0020566503135
1,1268.4801424813547
1,1266.032903747881
1,1265.3879946304696
1,1266.192812684284
1,1266.5928614186366
1,1266.2269458722483
1,1266.055869505357
1,1268.0142568692993
1,1271.827298074626
1,1267.5400802690021
1,1268.4822828975564
1,1268.6999165719656
1,1268.3233618200989
1,1268.9047407840824
1,1268.6522132426442
2,1305.4267289691463
2,1305.052138483103
2,1305.0290278779273
2,1304.4080927651
2,1304.5489319403307
2,1304.285455934127
2,1304.8700344353438
2,1305.337638489244
2,1302.0546364399706
2,1300.3539166401958
2,1298.7499927717038
2,1296.5253972466548
2,1297.719395088695
2,1296.18565772173
2,1296.3837077353262
2,1296.9720544797126
2,1297.6911836834772
2,1298.5898764769822
2,1297.9991145563476
2,1299.8203398872402
2,1299.1659875482717
2,1298.1824010130258
2,1295.4807676990638
2,1293.7675743993384
2,1292.331914720295
2,1291.6690019200878
2,1290.3602357048774
2,1290.0544419478192
2,1289.7756210097511
2,1289.5638482658683
2,1290.2551148876782
2,1291.9542848915155
2,1293.322427796377
2,1294.981054527439
2,1296.4625897024011
2,1298.2288826053898
2,1298.4890634754906
2,1294.1091069960967
2,1291.6535438700516
2,1289.7424449207097
2,1287.611451561794
2,1286.8603549961172
2,1284.1286696401435
2,1284.4793427292007
2,1284.040569375734
2,1284.4585141959728
2,1283.3971040850872
2,1284.2284322373735
2,1285.9147623965061
2,1287.306273181854
2,1288.0892252751087
2,1290.0813978600456
2,1292.6775742228608
2,1296.896875250506
2,1298.4572783594774
2,1293.547552693005
2,1289.3994177879051
2,1287.4909127661485
