Layer,PPFD
1,1281.711567893611
1,1283.4747215226862
1,1283.2862324925454
1,1284.687561210683
1,1284.9319997861319
1,1284.672131157173
1,1282.4859091643
1,1284.8751607009242
1,1286.1189757068948
1,1284.933568407859
1,1284.8248728812841
1,1285.5825031320444
1,1284.6261180430752
1,1282.9995342513146
1,1282.0206292824985
1,1284.1218637075701
1,1285.958057650053
1,1283.8047783823688
1,1282.6863334018644
1,1282.6494405795393
1,1285.578756115065
1,1286.5027601443128
1,1284.0536887795126
1,1282.00072607102
1,1285.7949581376402
1,1284.5020939152807
1,1284.4589903684823
1,1287.1365779847963
1,1286.1570034326558
1,1282.6709984158326
1,1287.0192074887639
1,1284.9760228474154
1,1281.398860649852
1,1284.0848428615402
1,1283.0205334163093
1,1283.299214169975
1,1283.7108244707479
1,1283.702815112609
1,1283.9256984890953
1,1286.5890898587645
1,1284.726945259223
1,1283.8991248547813
1,1283.962269968567
1,1286.2170981716406
1,1284.390023683533
1,1285.5151562732128
1,1283.9488447514907
1,1284.2517024387325
1,1285.4031028352492
1,1285.656398316061
1,1285.4662972705046
1,1284.9767912194154
1,1284.043574095988
1,1284.8738236367376
1,1286.1210726810912
1,1284.145983395652
1,1280.4581782964065
1,1285.080775016508
1,1286.6745567517683
1,1284.6064638876194
1,1284.600860217743
1,1285.4241056058293
1,1284.8330258815768
1,1286.188904259557
1,1286.201437000731
1,1286.4395605404466
1,1287.2897529690695
1,1285.5599583794076
1,1282.393124694064
1,1283.4602125000247
1,1283.9134607189471
1,1283.8571547047834
1,1281.9484537011665
1,1285.607352076495
1,1285.6895920231198
1,1286.868740379675
1,1284.5632341100288
1,1284.9912839259289
1,1284.4943405770846
1,1283.9256900524344
1,1284.0937576254257
1,1283.3455414086413
1,1282.2278603807276
1,1284.131343417853
1,1282.1876209775614
1,1285.079828102934
1,1286.0680421043683
1,1285.143438960786
1,1285.1608080098613
1,1286.1073347858871
1,1282.4641499467184
1,1281.8001321029801
1,1280.772319259839
1,1284.1460007477058
1,1286.4436950206782
1,1284.4153001254972
1,1286.322585157053
1,1284.5951872346445
1,1285.1992037697446
1,1284.9220367590742
1,1283.570921256525
1,1280.0732177576813
1,1283.2825233919593
1,1283.6300048816345
1,1284.5984595284813
1,1283.4612846951752
1,1283.0508181279295
1,1285.6417947277175
1,1281.6061859797376
1,1283.8213039915831
1,1280.3502873713999
1,1281.9716602247124
2,1276.3373456667096
2,1276.2544684258153
2,1277.176087577478
2,1279.497449878671
2,1277.2034118009426
2,1279.3303607075704
2,1278.8431706223225
2,1277.7009687282032
2,1277.3285463844184
2,1277.4819722804427
2,1278.8360504897666
2,1280.0022177757612
2,1277.574920110525
2,1277.0691722482536
2,1279.3037634068282
2,1278.6017824693977
2,1279.5602110153675
2,1278.570185474948
2,1277.839154394289
2,1277.5823008068155
2,1280.3554164543348
2,1279.905785421564
2,1280.2483017301124
2,1280.553107388956
2,1280.3060052602389
2,1280.9430828292143
2,1281.446628467377
2,1279.2582745957975
2,1281.0275881987013
2,1279.1824888778517
2,1280.7162093648467
2,1281.40387004978
2,1279.5297756313912
2,1278.2111547705263
2,1279.8138014692217
2,1280.859351241002
2,1280.4417782433513
2,1281.0055200710256
2,1280.8158897689098
2,1281.0109015342182
2,1283.819236492011
2,1282.7407509049622
2,1280.3942667850865
2,1280.248709560832
