Layer,PPFD
1,2292.4448950762603
1,2303.1590337286575
1,2294.953748350263
1,2306.070407400568
1,2290.336410538038
1,2315.20991961321
1,2326.068318434045
1,2325.4798099975887
1,2316.139974584753
1,2315.046726296738
1,2306.6972454540196
1,2292.484744299055
1,2303.458991476762
1,2314.553856751447
1,2335.5348367587744
1,2332.0721035884985
1,2340.6537826634867
1,2346.8989049779725
1,2326.9123919276453
1,2332.01412137598
1,2324.7607272457294
1,2292.203665181462
1,2301.63598685768
1,2331.048251600893
1,2348.743834246126
1,2352.2391323339334
1,2356.7909964804476
1,2354.6398444981264
1,2354.3669158340854
1,2345.185877912869
1,2316.654085236343
1,2308.3126095013054
1,2295.0803902466278
1,2313.830214791232
1,2341.1794553065474
1,2347.2775158703025
1,2367.836094686885
1,2364.5314690831997
1,2370.5191816568795
1,2371.618606542531
1,2345.2978774212165
1,2345.2697892610327
1,2333.6685151808188
1,2300.547320828063
1,2316.0436016521708
1,2326.535487371707
1,2347.455744580977
1,2360.528909419503
1,2363.286564404825
1,2362.0701690338838
1,2383.718020444952
1,2359.2642311215805
1,2343.936972533423
1,2352.549297089076
1,2314.711218082669
1,2299.8899168511366
1,2297.908437788443
1,2334.833019076255
1,2346.2731030640857
1,2362.9699641314382
1,2368.2442282212482
1,2370.292869042112
1,2387.9223763320006
1,2344.4679918009283
1,2343.276400170173
1,2335.8617668675015
1,2313.8177541759705
1,2303.0834279373016
1,2300.803897582189
1,2317.7752761611146
1,2329.122283504441
1,2350.696305301858
1,2357.557164510498
1,2359.021092556561
1,2373.5149852418735
1,2359.870200906545
1,2352.0980718082933
1,2346.3788893335372
1,2320.422225574916
1,2289.8954148200037
1,2304.906836893431
1,2347.45089227417
1,2348.9833265710554
1,2362.777661380349
1,2351.471939729221
1,2365.939248523182
1,2346.2588395459998
1,2355.6524290704006
1,2325.021128779812
1,2309.9066097389705
1,2295.4239968378924
1,2321.5871816529234
1,2331.9957350076074
1,2337.695495988775
1,2346.9257607448358
1,2340.2214382996203
1,2345.717350165081
1,2328.9485719828326
1,2308.2315928489775
1,2293.366677454439
1,2296.54143603016
1,2310.119233131076
1,2329.8943619849792
1,2330.3311119831724
1,2322.2853488796923
1,2308.9206332726617
1,2302.4398372712108
1,2281.9366168300667
1,2304.8712369626437
1,2302.105490089442
1,2296.36986930342
1,2300.332048113998
2,2126.601871372113
2,2142.681927790845
2,2133.514495387047
2,2138.915390851125
2,2132.0306963656103
2,2126.758231977469
2,2130.240158985503
2,2138.18385549546
2,2150.412710315837
2,2157.1069095523444
2,2174.3497356194644
2,2159.379548739674
2,2167.4053520393873
2,2157.6523992309017
2,2157.4152250106117
2,2145.534822475478
2,2137.775253093309
2,2120.648996885699
2,2132.389864367637
2,2135.937966413592
2,2160.012381496463
2,2170.5288698895356
2,2178.2047374487406
2,2191.486784179691
2,2199.3424320021813
2,2191.8638400888667
2,2178.3001204411316
2,2186.594388281575
2,2177.355783731869
2,2157.5063836657228
2,2146.1847768230364
2,2137.0016024053693
2,2133.596305789343
2,2142.342905976694
2,2179.1449874221425
2,2188.472489611727
2,2187.087637357947
2,2200.084441475653
2,2223.727062087665
2,2211.7744364255395
2,2220.3922980220377
2,2223.45039788231
2,2205.491440548743
2,2204.9643210146446
2,2173.4243305700275
2,2167.0723017907567
2,2150.694980385632
2,2150.168322393653
2,2145.0535890824117
2,2158.0040654170284
2,2173.2798995222442
2,2192.1487522149937
2,2208.1198407248603
2,2236.830437660736
2,2243.3396145802917
2,2262.2914915700912
2,2252.8417243597955
2,2251.5597312507634
2,2247.2483086605534
2,2229.5922929332282
2,2223.6317895808024
2,2214.464027862742
2,2186.7978953577117
2,2167.1222574058897
2,2153.3369154946577
2,2135.487864568006
2,2129.759497346619
2,2145.0877705140556
2,2173.740158922583
2,2202.7058389621247
2,2230.253096923099
2,2235.2430609546577
2,2255.571010318557
2,2263.7553105376783
2,2262.0131360699406
2,2287.4065171540155
2,2285.8050728557373
2,2286.749916715222
2,2261.642679025762
2,2250.168113582503
2,2250.102583234882
2,2229.0737870905673
2,2204.6697296944794
2,2168.653822271535
2,2149.1039132745523
2,2135.1913168941087
2,2121.539747203951
2,2149.9864823380544
2,2180.0270924665006
2,2196.797948461925
2,2217.8991352427474
2,2233.3460103547955
2,2265.8288589169088
2,2268.396141190435
2,2285.81717645862
2,2291.422424993396
2,2287.3598804891153
2,2265.475753644643
2,2249.0420325526716
2,2212.2602953985606
2,2193.2565790222616
2,2177.6772324844765
2,2141.344990723724
2,2127.848162975581
2,2138.9226967929503
2,2163.9674599846676
2,2187.2013351362684
2,2220.469354643835
2,2237.1222120897987
2,2257.1058477751394
2,2277.4830980183683
2,2285.1952799423234
2,2251.053824857709
2,2236.8451960622024
2,2221.2005156717705
2,2180.1858307405887
2,2166.050612021211
2,2128.0710723955285
2,2143.9763326102525
2,2174.864152892586
2,2203.3009792421353
2,2234.1284163560176
2,2263.9663091589437
2,2275.8495061878025
2,2266.274098682059
2,2258.5220536114207
2,2227.968538002973
2,2201.8805899053655
2,2182.2841703595814
2,2152.7177331970597
2,2133.1541440157753
2,2149.062182745532
2,2186.9661126134756
2,2205.1027222298003
2,2245.1574417416537
2,2261.9935454444085
2,2291.41630727783
2,2284.3303809024683
2,2266.0652973658885
2,2233.1152890805483
2,2209.964725508272
2,2178.1667683972096
2,2154.4586001264297
2,2138.2894092796837
2,2141.721539939426
2,2168.484203304481
2,2183.8973970875422
2,2219.1364691823082
2,2249.832702922078
2,2286.542838357906
2,2262.063516560094
2,2248.6939882378506
2,2220.883022737796
2,2192.4994596862603
2,2169.6970417068023
2,2142.477337138287
2,2128.4508139117343
2,2168.1326832066743
2,2183.754535744906
2,2223.2071451052284
2,2254.9329869307235
2,2283.2212662514357
2,2270.6044366129563
2,2251.8261218410657
2,2225.7544116891645
2,2193.958172952903
2,2155.7151135967915
2,2141.8364917458866
2,2148.7238644164972
2,2169.80535457831
2,2195.9340738092565
2,2220.323446885811
2,2246.4087690190127
2,2278.041256908137
2,2265.1589086256454
2,2262.612987404038
2,2219.4438258855917
2,2191.8477377956306
2,2163.0839930311768
2,2145.1173635848013
2,2134.712539358012
2,2166.4286863232937
2,2181.5249113859923
2,2218.5667636019107
2,2244.4699534109645
2,2279.4945763163487
2,2275.0846924048724
2,2244.5260418942134
2,2216.724858170796
2,2192.3350190189385
2,2168.985096628423
2,2135.9808901571287
2,2124.619009822915
2,2152.7207979133536
2,2182.778712873621
2,2206.302576244964
2,2242.209605163405
2,2279.195508617185
2,2292.8597352391885
2,2286.746300154639
2,2281.817228680525
2,2238.24806548417
2,2211.308972613109
2,2180.954343601367
2,2163.8168610671964
2,2122.7464894025825
2,2156.998483216537
2,2180.418132115504
2,2200.1565244302897
2,2235.5775531991944
2,2245.9890861736085
2,2278.2163019881186
2,2273.6210649334425
2,2256.423432122416
2,2222.1131814240402
2,2207.451272131058
2,2173.2415853344255
2,2150.63352616864
2,2138.773782446278
2,2166.9939931728773
2,2192.995391036056
2,2205.3881997564768
2,2225.9180079818434
2,2255.1764344783187
2,2281.1189470038366
2,2275.436291193028
2,2273.4945598913314
2,2230.916098258205
2,2220.413871205455
2,2191.5342170949134
2,2155.987771823233
2,2143.530265372536
2,2130.8039317536527
2,2136.0468311749796
2,2165.643724696456
2,2196.2393981388805
2,2229.6607861430334
2,2258.2501471031073
2,2265.5287989085236
2,2278.967628627094
2,2291.6861392380692
2,2280.219628352056
2,2289.8376104954536
2,2256.9744272950607
2,2236.551105459631
2,2220.222360410965
2,2187.658704309073
2,2170.271169977343
2,2145.6160937631716
2,2122.1501451113104
2,2135.0468836970217
2,2152.3740531252265
2,2176.5017361408713
2,2195.099586322541
2,2228.8294994388757
2,2249.493077645767
2,2252.7528753879737
2,2260.169793903275
2,2278.890784566912
2,2284.9340538733495
2,2280.5005800987474
2,2276.2723758980032
2,2264.598082161774
2,2244.182681651149
2,2233.8222710086347
2,2219.2410979598367
2,2195.2668272508517
2,2175.378034497515
2,2159.0878461329535
2,2126.7454595198587
2,2126.5492767223423
2,2150.9136559881113
2,2181.7180382487663
