Layer,PPFD
1,1458.641271281366
1,1460.5601706355803
1,1461.1452453639938
1,1461.8080216871174
1,1461.99714600387
1,1458.3605296052674
1,1459.0943554047121
1,1459.7852382277035
1,1461.4382191093653
1,1463.3051922680527
1,1464.163201688043
1,1464.5913513691814
1,1463.4771929601854
1,1461.4062173568304
1,1460.550628010683
1,1459.609632385917
1,1460.5836599105708
1,1461.7766670587964
1,1464.5989634957184
1,1467.2038244363716
1,1467.2446817971495
1,1467.6584971429425
1,1466.8538450930291
1,1465.3677887621677
1,1463.7340117645579
1,1460.9700148587956
1,1457.67532412166
1,1462.3708772214907
1,1464.6969064050659
1,1467.1757259112208
1,1469.0270618335649
1,1469.8324032237138
1,1468.571942779601
1,1467.9561952249996
1,1467.0647424454519
1,1465.1506276459058
1,1461.2300239323613
1,1458.9477367848904
1,1460.5747455316282
1,1463.6851536832285
1,1467.8085387255421
1,1469.771016605724
1,1469.863643068849
1,1471.1514041820558
1,1471.4199255867563
1,1470.7682255093946
1,1468.974049434407
1,1467.6319811822395
1,1463.0023712128134
1,1461.7043730130888
1,1461.8474713189016
1,1465.4701894532475
1,1468.3622118557844
1,1470.4887632573466
1,1471.165301599615
1,1472.9977248770992
1,1473.6417905454857
1,1472.0250422500135
1,1469.9056435377368
1,1469.0168901597763
1,1465.0835526932763
1,1462.7802007356136
1,1462.2492853816643
1,1464.7602074192307
1,1467.5140879821408
1,1469.717389081916
1,1471.6219707438634
1,1473.5460526267677
1,1473.6949679164497
1,1471.6346783397587
1,1470.1659660642479
1,1469.0430466684613
1,1465.2078227020384
1,1461.7862121915746
1,1461.518846627386
1,1463.7177790270014
1,1467.5688220088775
1,1469.1105036035676
1,1470.3679350707428
1,1471.8643648165153
1,1472.1221673738457
1,1471.0142090998324
1,1469.5530070934692
1,1468.1033034548514
1,1464.00468847543
1,1461.6124793124181
1,1459.7758174534633
1,1462.183373986158
1,1465.238114425583
1,1467.6640705610444
1,1469.4806501198002
1,1470.585768427627
1,1469.788331163455
1,1470.128428775428
1,1467.9615800975687
1,1466.2982176289624
1,1461.9895376846534
1,1459.4401466783484
1,1462.233044505517
1,1463.7248547779006
1,1466.0032936671923
1,1467.6448970602412
1,1468.6160677037806
1,1468.9051326559456
1,1468.6072771753327
1,1466.4746158798066
1,1464.0288722568412
1,1461.4074951353905
1,1460.0566135601725
1,1460.5255548218506
1,1462.434798021516
1,1465.0951403937813
1,1466.1857335140314
1,1465.667263596108
1,1464.1319331828845
1,1462.8942323876772
1,1461.7744726123988
1,1462.414954375861
1,1459.624409578885
1,1461.4601530254688
1,1463.1729834169491
1,1463.5423547301364
1,1462.593415227005
1,1459.8862685806719
2,1425.4165041245933
2,1426.9110199243232
2,1428.7937803324198
2,1429.5853640355906
2,1430.0387146518765
2,1430.7091133991607
2,1427.7598371824442
2,1426.5082232261411
2,1424.333150088047
2,1426.2916720963465
2,1430.8198393402986
2,1431.5493772684592
2,1433.0298158249034
2,1433.6490775869124
2,1433.4273645836392
2,1433.300362813192
2,1432.233999138272
2,1431.3371848627912
2,1428.7780259387357
2,1426.0913932087901
2,1422.6237214645291
2,1426.6386213177525
2,1429.6540770416539
2,1432.1808029622075
2,1435.0020364108616
2,1437.4855229824445
2,1436.9884604728238
2,1439.1845260575876
2,1438.0548063457948
2,1438.3172502593882
2,1438.6044628263005
2,1436.7562692581737
